Site,Buy-In,Tourney Start,Tourney End,My C Net Won,Hands,chipEV/tourney,Chips Won
Sportium,10,2021/06/11 11:58 am,2021/06/11 12:01 pm,-€10.00,8,-400,-500
Sportium,10,2021/06/11 11:53 am,2021/06/11 11:57 am,-€10.00,10,37,-500
Sportium,10,2021/06/11 11:53 am,2021/06/11 11:57 am,-€10.00,12,-503,-500
Sportium,10,2021/06/11 11:47 am,2021/06/11 11:52 am,-€10.00,16,195,-500
Sportium,10,2021/06/11 11:46 am,2021/06/11 11:52 am,-€10.00,20,-223,-500
Sportium,10,2021/06/11 11:44 am,2021/06/11 11:46 am,-€10.00,5,-192,-500
Sportium,10,2021/06/11 11:39 am,2021/06/11 11:46 am,-€10.00,22,-229,-500
Sportium,10,2021/06/11 11:30 am,2021/06/11 11:36 am,-€10.00,16,-174,-500
Sportium,10,2021/06/10 12:44 pm,2021/06/10 12:50 pm,-€10.00,17,417,-500
Sportium,10,2021/06/10 12:42 pm,2021/06/10 12:49 pm,-€10.00,18,171,-500
Sportium,10,2021/06/10 12:12 pm,2021/06/10 12:12 pm,-€10.00,2,-500,-500
Sportium,10,2021/06/10 11:59 am,2021/06/10 12:04 pm,-€10.00,16,469,-500
Sportium,10,2021/06/10 11:53 am,2021/06/10 11:58 am,-€10.00,15,55,-500
Sportium,10,2021/06/10 11:52 am,2021/06/10 11:53 am,-€10.00,3,-6,-500
Sportium,10,2021/06/10 11:47 am,2021/06/10 11:52 am,-€10.00,15,662,-500
Sportium,10,2021/06/10 11:44 am,2021/06/10 11:51 am,-€10.00,21,-948,-500
Sportium,10,2021/06/10 11:42 am,2021/06/10 11:46 am,-€10.00,13,109,-500
Sportium,10,2021/06/09  1:40 pm,2021/06/09  1:44 pm,-€10.00,16,105,-500
Sportium,10,2021/06/09  1:26 pm,2021/06/09  1:33 pm,-€10.00,26,-624,-500
Sportium,10,2021/06/09  1:23 pm,2021/06/09  1:27 pm,-€10.00,15,-153,-500
Sportium,10,2021/06/09  1:21 pm,2021/06/09  1:25 pm,-€10.00,14,-273,-500
Sportium,10,2021/06/09  1:13 pm,2021/06/09  1:17 pm,-€10.00,13,-377,-500
Sportium,10,2021/06/09 12:35 pm,2021/06/09 12:41 pm,-€10.00,21,-469,-500
Sportium,10,2021/06/09 12:32 pm,2021/06/09 12:40 pm,-€10.00,18,-120,-500
Sportium,10,2021/06/09 12:23 pm,2021/06/09 12:26 pm,-€10.00,13,310,-500
Sportium,10,2021/06/09 12:22 pm,2021/06/09 12:27 pm,-€10.00,16,46,-500
Sportium,10,2021/06/09 12:20 pm,2021/06/09 12:21 pm,-€10.00,2,-270,-500
