Site,Buy-In,Tourney Start,Tourney End,My C Net Won,Hands,chipEV/tourney,Chips Won
PS.com,0.25,2017/01/15  3:24 pm,2017/01/15  3:28 pm,-€0.23,17,-240,-500
PS.com,0.25,2017/01/15  3:23 pm,2017/01/15  3:23 pm,-€0.23,1,-500,-500
PS.com,0.25,2017/01/15  3:17 pm,2017/01/15  3:22 pm,-€0.23,15,2,-500
PS.com,0.25,2017/01/15  3:16 pm,2017/01/15  3:23 pm,-€0.23,20,-265,-500
PS.com,0.25,2017/01/15  3:15 pm,2017/01/15  3:17 pm,-€0.23,6,-500,-500
PS.com,0.25,2017/01/15  3:14 pm,2017/01/15  3:15 pm,-€0.23,4,343,-500
PS.com,0.25,2017/01/15  3:14 pm,2017/01/15  3:14 pm,-€0.23,1,99,-500
PS.com,0.25,2017/01/15  3:14 pm,2017/01/15  3:21 pm,-€0.23,21,-27,-500
PS.com,0.25,2017/01/15  3:08 pm,2017/01/15  3:13 pm,-€0.23,12,-433,-500
PS.com,0.25,2017/01/15  3:08 pm,2017/01/15  3:12 pm,-€0.23,13,-216,-500
PS.com,0.25,2017/01/15  3:04 pm,2017/01/15  3:05 pm,-€0.23,5,-358,-500
PS.com,0.25,2017/01/15  3:02 pm,2017/01/15  3:03 pm,-€0.23,3,-369,-500
PS.com,0.25,2017/01/15  3:01 pm,2017/01/15  3:04 pm,-€0.23,11,-460,-500
PS.com,0.25,2017/01/15  3:01 pm,2017/01/15  3:01 pm,-€0.23,3,54,-500
PS.com,0.25,2017/01/15  3:00 pm,2017/01/15  3:03 pm,-€0.23,14,-641,-500
PS.com,0.25,2017/01/15  2:52 pm,2017/01/15  2:55 pm,-€0.23,8,178,-500
PS.com,0.25,2017/01/15  2:52 pm,2017/01/15  3:00 pm,-€0.23,30,442,-500
PS.com,0.25,2017/01/15  2:51 pm,2017/01/15  2:55 pm,-€0.23,11,-176,-500
PS.com,0.25,2017/01/15  2:41 pm,2017/01/15  2:50 pm,-€0.23,44,-1232,-500
PS.com,0.25,2017/01/15  2:41 pm,2017/01/15  2:41 pm,-€0.23,1,-14,-500
PS.com,0.25,2016/12/22  4:05 pm,2016/12/22  4:11 pm,-€0.24,16,137,-500
PS.com,0.25,2016/12/22  4:04 pm,2016/12/22  4:13 pm,-€0.24,46,503,-500
PS.com,0.25,2016/12/22  4:01 pm,2016/12/22  4:04 pm,-€0.24,11,-223,-500
PS.com,0.25,2016/12/22  3:58 pm,2016/12/22  4:03 pm,-€0.24,14,-464,-500
PS.com,0.25,2016/12/22  3:53 pm,2016/12/22  4:02 pm,-€0.24,43,-58,-500
PS.com,0.25,2016/12/22  3:50 pm,2016/12/22  3:56 pm,-€0.24,21,-142,-500
PS.com,0.25,2016/12/22  3:48 pm,2016/12/22  3:50 pm,-€0.24,9,184,-500
PS.com,0.25,2016/12/22  3:48 pm,2016/12/22  3:53 pm,-€0.24,17,-25,-500
PS.com,0.25,2016/12/22  3:48 pm,2016/12/22  3:57 pm,-€0.24,34,-857,-500
PS.com,0.25,2016/12/22  3:42 pm,2016/12/22  3:47 pm,-€0.24,19,15,-500
PS.com,0.25,2016/12/22  3:38 pm,2016/12/22  3:41 pm,-€0.24,12,-204,-500
PS.com,0.25,2016/12/22  3:38 pm,2016/12/22  3:42 pm,-€0.24,12,-280,-500
PS.com,0.25,2016/12/22  3:38 pm,2016/12/22  3:44 pm,-€0.24,21,-278,-500
PS.com,0.25,2016/12/22  3:33 pm,2016/12/22  3:37 pm,-€0.24,18,-70,-500
PS.com,0.25,2016/12/22  3:05 pm,2016/12/22  3:14 pm,-€0.24,37,-393,-500
PS.com,0.25,2016/12/22  3:05 pm,2016/12/22  3:11 pm,-€0.24,31,-59,-500
